normalize,networkarch,act,n_layers,hidden_nodes,correct_functional,lr,weight_decay,Test error
False,0,swish,4,95,False,0.002259209107572768,2.7589543609177037e-05,0.00011669247032841668

False,0,swish,4,91,False,0.0012252718225640726,4.77358059844379e-05,0.00014737159290234558

False,0,tanh,3,97,False,0.0004779400543264783,2.6961860533069937e-07,0.00011397802882129326

False,0,sin,4,88,True,0.001793435790370617,7.332620988182462e-05,0.00016257096285698935

False,1,swish,1,100,False,0.0005907441439067551,2.375961289473093e-05,0.01240152437821962

True,2,swish,3,84,False,0.0010034548272637184,9.931865697856792e-05,0.002327547801542096

False,0,sigmoid,4,20,False,0.0034875678834849744,0.0001316318818629962,0.016690991877112538

False,0,swish,3,43,True,0.000734838986470414,7.885314338810967e-05,0.0015992955741239712

False,0,swish,4,96,False,0.00031688542295858866,1.7789918988767614e-05,0.0005139977802173235

False,0,swish,4,91,False,0.00043822711006388587,1.9195871903120526e-06,8.794049790594727e-05

False,0,swish,4,97,False,0.000557172177080773,5.4264749741024975e-05,0.0003227418419555761

False,0,swish,4,89,False,0.0012830734843462877,1.8112108026563215e-05,0.00019775927648879588

False,0,swish,4,93,False,0.0010216987965198327,5.0920740662779954e-08,1.2804988728021272e-05

False,0,swish,4,85,False,0.0009336232930407312,3.483223719933161e-05,0.00020891422900604084

False,0,swish,4,93,False,0.0019748302747030133,5.8140585304588714e-05,0.00015974383495631628

False,0,swish,4,81,False,0.0011070681076979457,1.5556378428558826e-05,4.397801967570558e-05

False,2,tanh,4,77,False,0.0013139403644731613,1.836842165814343e-05,0.00022841797908768058

False,0,sin,4,80,False,0.0006966441742928529,4.814070323795673e-05,0.0003180319836246781

False,0,swish,4,93,False,0.0010250134838420222,1.5919629414715546e-05,7.925021418486722e-05

False,0,swish,4,56,False,0.0007501213299604955,6.692898820538014e-07,4.273466765880585e-05

False,0,swish,4,54,False,0.0015190872239855245,3.1419523543365736e-05,0.0001780874445103109

False,0,swish,4,59,False,0.0005608524146454037,8.683816187779357e-05,0.0009159824039670639

False,0,swish,4,67,False,0.0010549904683249394,2.04010244519896e-05,0.00011036275827791542

False,0,swish,4,45,False,0.0007173138710192332,4.2230884438363286e-05,0.0014369563141372055

False,1,sigmoid,4,51,False,0.00038398884312199435,1.3339457774647579e-05,0.0553388181142509

True,0,swish,4,86,False,0.001180013257663257,6.711673071202588e-05,0.0004389837631606497

False,0,swish,4,81,True,0.0019559941637692395,5.538880549856245e-05,0.0002057845122180879

False,0,swish,4,34,False,0.0006552351397260178,3.8168973164099875e-07,0.000289136529318057

False,0,swish,3,90,False,0.0009071842947425847,7.789199614688543e-07,0.0001345093442068901

False,0,swish,4,98,False,0.0008251485401304084,3.325214163658914e-05,0.0001887814942165278

False,0,swish,2,94,False,0.0004992625512962491,1.4292128140385128e-05,0.0034638346478459425

False,0,swish,4,100,False,0.0016417799382461963,3.938706461452742e-05,0.00018975513376062736

False,0,swish,4,87,False,0.0008656679585753013,1.4057630403701142e-05,7.29094954294851e-05

False,2,swish,1,71,False,0.0011589389127582223,2.9543297027730826e-05,0.008088282382232137

False,0,sin,3,62,False,0.0004961186168612464,5.959005896378398e-05,0.0012963234112248756

True,0,tanh,4,84,False,0.0006396818115979927,4.619779610130867e-05,0.0003792480056290515

False,1,swish,4,90,False,0.00141181105747201,1.0058498913063421e-05,0.0002801740338327363

False,0,swish,3,11,True,0.0003583329670980526,2.371964265120136e-05,0.006858406821265817

False,0,swish,4,96,False,0.0007580939312996842,1.0982257092221855e-06,3.660417678474914e-05

False,0,swish,4,95,False,0.000830760720691556,1.4595426034317825e-06,4.2565168769215234e-05

False,0,swish,4,96,False,0.0006581311178690734,1.0347549604778901e-05,0.00010000359907280654

False,0,swish,4,97,False,0.001058435334633243,2.836517874151388e-05,0.0002139043208444491

